Link;Address;Neighbor;Area;Type;Rooms;Bathrooms;Parking;Price
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-70m2-venda-RS280000-id-2645338457/;Centro, Londrina - PR;Centro;70;Apartamento;3;3;1;280000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-84m2-venda-RS330000-id-2664802600/;Avenida São Paulo - Centro, Londrina - PR; Centro;84;Apartamento;3;2;1;330000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-74m2-venda-RS290000-id-2599464893/;Centro, Londrina - PR;Centro;74;Apartamento;3;2;1;290000
https://www.vivareal.com.br/imovel/casa-3-quartos-ideal-bairros-londrina-com-garagem-79m2-venda-RS275000-id-2617966499/;Rua Diamante, 10 - Ideal, Londrina - PR; Ideal;79;Casa;3;2;1;275000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-60m2-venda-RS340000-id-2657333668/;Rua Mato Grosso, 789 - Centro, Londrina - PR; Centro;60;Apartamento;2;1;1;340000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-63m2-venda-RS279000-id-2572773496/;Avenida São Paulo, 790 - Centro, Londrina - PR; Centro;63;Apartamento;3;2;1;279000
https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-londrina-com-garagem-34m2-venda-RS165000-id-2562337945/;Centro, Londrina - PR;Centro;34;Apartamento;1;1;1;165000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-55m2-venda-RS220000-id-2667773201/;Rua Paranaguá - Centro, Londrina - PR; Centro;55;Apartamento;2;1;1;220000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-71m2-venda-RS340000-id-2556118228/;Rua Uruguai, 1500 - Centro, Londrina - PR; Centro;71;Apartamento;2;1;1;340000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-vitoria-regia-bairros-londrina-com-garagem-58m2-venda-RS210000-id-2650227668/;Rua Graúna, 165 - Vitoria Regia, Londrina - PR; Vitoria Regia;58;Apartamento;2;1;1;210000
https://www.vivareal.com.br/imovel/casa-2-quartos-ideal-bairros-londrina-com-garagem-100m2-venda-RS160000-id-2646094819/;Rua Manganês, 128 - Ideal, Londrina - PR; Ideal;100;Casa;2;1;4;160000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-75m2-venda-RS185000-id-2682563193/;Rua Senador Souza Naves, 119 - Centro, Londrina - PR; Centro;75;Apartamento;2;1;;185000
https://www.vivareal.com.br/imovel/apartamento-3-quartos-centro-bairros-londrina-com-garagem-63m2-venda-RS220000-id-2660096506/;Rua São Jerônimo - Centro, Londrina - PR; Centro;63;Apartamento;3;2;1;220000
https://www.vivareal.com.br/imovel/apartamento-2-quartos-centro-bairros-londrina-com-garagem-48m2-venda-RS215000-id-2602950783/;Rua Amapá - Centro, Londrina - PR; Centro;48;Apartamento;2;2;1;215000
